time,action,category,source,target
2026-07-22 10:39:08,moved,过程材料-主题教育和学习教育,E:\sl_obsidian\200督导考核岗\210本岗位特定技能\212主题教育和党内集中教育落实\学习教育查摆问题整改整治台账（数字化与稽核中心) - 改(1).xlsx,E:\sl_obsidian\200督导考核岗\240过程材料归档\主题教育和学习教育\2026-07\学习教育查摆问题整改整治台账（数字化与稽核中心) - 改(1).xlsx
2026-07-22 10:39:08,moved,过程材料-主题教育和学习教育,E:\sl_obsidian\200督导考核岗\210本岗位特定技能\212主题教育和党内集中教育落实\学习教育查摆问题整改整治台账（数字化与稽核中心) - 改.xlsx,E:\sl_obsidian\200督导考核岗\240过程材料归档\主题教育和学习教育\2026-07\学习教育查摆问题整改整治台账（数字化与稽核中心) - 改.xlsx
2026-07-22 10:39:08,moved,过程材料-主题教育和学习教育,E:\sl_obsidian\200督导考核岗\210本岗位特定技能\212主题教育和党内集中教育落实\学习教育查摆问题整改整治情况征询意见表.xlsx,E:\sl_obsidian\200督导考核岗\240过程材料归档\主题教育和学习教育\2026-07\学习教育查摆问题整改整治情况征询意见表.xlsx
2026-07-22 10:39:08,moved,过程材料-书记述职评议,E:\sl_obsidian\200督导考核岗\210本岗位特定技能\213党组织书记抓基层党建述职评议考核\2025年度抓基层党建工作述职报告-焦作联通付刚20260116-定稿.docx,E:\sl_obsidian\200督导考核岗\240过程材料归档\书记述职评议\2026-07\2025年度抓基层党建工作述职报告-焦作联通付刚20260116-定稿.docx
2026-07-22 10:39:08,moved,过程材料-党员发展,E:\sl_obsidian\200督导考核岗\210本岗位特定技能\219党员发展工作\2023年8月7日党员入党材料手续交接清单_党群李竞.xlsx,E:\sl_obsidian\200督导考核岗\240过程材料归档\党员发展工作\2026-07\2023年8月7日党员入党材料手续交接清单_党群李竞.xlsx
2026-07-22 10:39:08,moved,过程材料-党员发展,E:\sl_obsidian\200督导考核岗\210本岗位特定技能\219党员发展工作\关于丁恩宏同志党员发展手续有关情况的证明(1).docx,E:\sl_obsidian\200督导考核岗\240过程材料归档\党员发展工作\2026-07\关于丁恩宏同志党员发展手续有关情况的证明(1).docx
2026-07-22 10:39:08,moved,过程材料-综合协调,E:\sl_obsidian\200督导考核岗\210本岗位特定技能\220综合协调与日常管理\附件4：合规风险识别清单（焦作）.xlsx,E:\sl_obsidian\200督导考核岗\240过程材料归档\综合协调与日常管理\2026-07\附件4：合规风险识别清单（焦作）.xlsx
2026-07-22 10:39:08,moved,过程材料-党建考核/微巡查,E:\sl_obsidian\200督导考核岗\210本岗位特定技能\211党建责任制考核评价\3.考核组织实施\孟州微巡察推动会.pptx,E:\sl_obsidian\200督导考核岗\240过程材料归档\党建考核与微巡查\2026-07\孟州微巡察推动会.pptx
2026-07-22 10:39:08,moved,过程材料-党建品牌/融合案例,E:\sl_obsidian\200督导考核岗\210本岗位特定技能\215立足岗位做贡献、党建本地化融合品牌与五星支部建设\4.党业融合案例\2026年党建品牌考核指标(市场线)(0721).xlsx,E:\sl_obsidian\200督导考核岗\240过程材料归档\党建品牌与融合案例\2026-07\2026年党建品牌考核指标(市场线)(0721).xlsx
2026-07-22 10:39:08,moved,过程材料-立足岗位做贡献,E:\sl_obsidian\200督导考核岗\210本岗位特定技能\215立足岗位做贡献、党建本地化融合品牌与五星支部建设\6.立足岗位做贡献 服务发展当先锋\过程附件\2026.4.10_办公室党支部二季度党员先锋岗_余新生.JPG,E:\sl_obsidian\200督导考核岗\240过程材料归档\立足岗位做贡献与党员先锋岗\2026-07\2026.4.10_办公室党支部二季度党员先锋岗_余新生.JPG
