time,action,category,source,target
2026-07-22 10:39:08,moved,过程材料-立足岗位做贡献,E:\sl_obsidian\200督导考核岗\210本岗位特定技能\215立足岗位做贡献、党建本地化融合品牌与五星支部建设\6.立足岗位做贡献 服务发展当先锋\过程附件\2026.4.10_办公室党支部二季度党员先锋岗_王永旗.JPG,E:\sl_obsidian\200督导考核岗\240过程材料归档\立足岗位做贡献与党员先锋岗\2026-07\2026.4.10_办公室党支部二季度党员先锋岗_王永旗.JPG
2026-07-22 10:39:08,moved,过程材料-立足岗位做贡献,E:\sl_obsidian\200督导考核岗\210本岗位特定技能\215立足岗位做贡献、党建本地化融合品牌与五星支部建设\6.立足岗位做贡献 服务发展当先锋\过程附件\2026.4.10_附件2：党员先锋岗申报表_余新生.xlsx,E:\sl_obsidian\200督导考核岗\240过程材料归档\立足岗位做贡献与党员先锋岗\2026-07\2026.4.10_附件2：党员先锋岗申报表_余新生.xlsx
2026-07-22 10:39:08,moved,过程材料-立足岗位做贡献,E:\sl_obsidian\200督导考核岗\210本岗位特定技能\215立足岗位做贡献、党建本地化融合品牌与五星支部建设\6.立足岗位做贡献 服务发展当先锋\过程附件\2026.4.10_附件2：党员先锋岗申报表_王永旗.xlsx,E:\sl_obsidian\200督导考核岗\240过程材料归档\立足岗位做贡献与党员先锋岗\2026-07\2026.4.10_附件2：党员先锋岗申报表_王永旗.xlsx
2026-07-22 10:39:08,moved,过程材料-立足岗位做贡献,E:\sl_obsidian\200督导考核岗\210本岗位特定技能\215立足岗位做贡献、党建本地化融合品牌与五星支部建设\6.立足岗位做贡献 服务发展当先锋\过程附件\2026.7.21_办公室党支部二季度先锋岗考核表.JPG,E:\sl_obsidian\200督导考核岗\240过程材料归档\立足岗位做贡献与党员先锋岗\2026-07\2026.7.21_办公室党支部二季度先锋岗考核表.JPG
2026-07-22 10:39:08,moved,过程材料-立足岗位做贡献,E:\sl_obsidian\200督导考核岗\210本岗位特定技能\215立足岗位做贡献、党建本地化融合品牌与五星支部建设\6.立足岗位做贡献 服务发展当先锋\过程附件\2026.7.21_办公室党支部党员先锋岗考核表 -.xlsx,E:\sl_obsidian\200督导考核岗\240过程材料归档\立足岗位做贡献与党员先锋岗\2026-07\2026.7.21_办公室党支部党员先锋岗考核表 -.xlsx
2026-07-22 10:39:08,moved,过程材料-立足岗位做贡献,E:\sl_obsidian\200督导考核岗\210本岗位特定技能\215立足岗位做贡献、党建本地化融合品牌与五星支部建设\6.立足岗位做贡献 服务发展当先锋\过程附件\2026年二季度党员先锋岗打分表(博爱).xlsx,E:\sl_obsidian\200督导考核岗\240过程材料归档\立足岗位做贡献与党员先锋岗\2026-07\2026年二季度党员先锋岗打分表(博爱).xlsx
2026-07-22 10:39:08,moved,过程材料-立足岗位做贡献,E:\sl_obsidian\200督导考核岗\210本岗位特定技能\215立足岗位做贡献、党建本地化融合品牌与五星支部建设\6.立足岗位做贡献 服务发展当先锋\过程附件\2026年二季度党员先锋岗打分表人力资源部20260720.xlsx,E:\sl_obsidian\200督导考核岗\240过程材料归档\立足岗位做贡献与党员先锋岗\2026-07\2026年二季度党员先锋岗打分表人力资源部20260720.xlsx
2026-07-22 10:39:08,moved,过程材料-立足岗位做贡献,E:\sl_obsidian\200督导考核岗\210本岗位特定技能\215立足岗位做贡献、党建本地化融合品牌与五星支部建设\6.立足岗位做贡献 服务发展当先锋\过程附件\2026第二季度党员先锋岗打分表.xlsx,E:\sl_obsidian\200督导考核岗\240过程材料归档\立足岗位做贡献与党员先锋岗\2026-07\2026第二季度党员先锋岗打分表.xlsx
2026-07-22 10:39:08,moved,过程材料-立足岗位做贡献,E:\sl_obsidian\200督导考核岗\210本岗位特定技能\215立足岗位做贡献、党建本地化融合品牌与五星支部建设\6.立足岗位做贡献 服务发展当先锋\过程附件\【附件】附件2：综服王杰-党员先锋岗申报表.xlsx,E:\sl_obsidian\200督导考核岗\240过程材料归档\立足岗位做贡献与党员先锋岗\2026-07\【附件】附件2：综服王杰-党员先锋岗申报表.xlsx
2026-07-22 10:39:08,moved,过程材料-立足岗位做贡献,E:\sl_obsidian\200督导考核岗\210本岗位特定技能\215立足岗位做贡献、党建本地化融合品牌与五星支部建设\6.立足岗位做贡献 服务发展当先锋\过程附件\【附件】附件2：综服马艳丽-党员先锋岗申报表.xlsx,E:\sl_obsidian\200督导考核岗\240过程材料归档\立足岗位做贡献与党员先锋岗\2026-07\【附件】附件2：综服马艳丽-党员先锋岗申报表.xlsx
2026-07-22 10:39:08,moved,过程材料-立足岗位做贡献,E:\sl_obsidian\200督导考核岗\210本岗位特定技能\215立足岗位做贡献、党建本地化融合品牌与五星支部建设\6.立足岗位做贡献 服务发展当先锋\过程附件\二季度党员先锋岗打分表.png,E:\sl_obsidian\200督导考核岗\240过程材料归档\立足岗位做贡献与党员先锋岗\2026-07\二季度党员先锋岗打分表.png
2026-07-22 10:39:08,moved,过程材料-立足岗位做贡献,E:\sl_obsidian\200督导考核岗\210本岗位特定技能\215立足岗位做贡献、党建本地化融合品牌与五星支部建设\6.立足岗位做贡献 服务发展当先锋\过程附件\党员先锋岗打分表 - 二季度.xlsx,E:\sl_obsidian\200督导考核岗\240过程材料归档\立足岗位做贡献与党员先锋岗\2026-07\党员先锋岗打分表 - 二季度.xlsx
2026-07-22 10:39:08,moved,过程材料-立足岗位做贡献,E:\sl_obsidian\200督导考核岗\210本岗位特定技能\215立足岗位做贡献、党建本地化融合品牌与五星支部建设\6.立足岗位做贡献 服务发展当先锋\过程附件\党员先锋岗打分表(1).xlsx,E:\sl_obsidian\200督导考核岗\240过程材料归档\立足岗位做贡献与党员先锋岗\2026-07\党员先锋岗打分表(1).xlsx
2026-07-22 10:39:08,moved,过程材料-立足岗位做贡献,E:\sl_obsidian\200督导考核岗\210本岗位特定技能\215立足岗位做贡献、党建本地化融合品牌与五星支部建设\6.立足岗位做贡献 服务发展当先锋\过程附件\党员先锋岗打分表-网运中心党支部二季度.xlsx,E:\sl_obsidian\200督导考核岗\240过程材料归档\立足岗位做贡献与党员先锋岗\2026-07\党员先锋岗打分表-网运中心党支部二季度.xlsx
2026-07-22 10:39:08,moved,过程材料-立足岗位做贡献,E:\sl_obsidian\200督导考核岗\210本岗位特定技能\215立足岗位做贡献、党建本地化融合品牌与五星支部建设\6.立足岗位做贡献 服务发展当先锋\过程附件\党员先锋岗打分表.xlsx,E:\sl_obsidian\200督导考核岗\240过程材料归档\立足岗位做贡献与党员先锋岗\2026-07\党员先锋岗打分表.xlsx
2026-07-22 10:39:08,moved,过程材料-立足岗位做贡献,E:\sl_obsidian\200督导考核岗\210本岗位特定技能\215立足岗位做贡献、党建本地化融合品牌与五星支部建设\6.立足岗位做贡献 服务发展当先锋\过程附件\党员先锋岗打分表.机动通信局第二季度xlsx.xlsx,E:\sl_obsidian\200督导考核岗\240过程材料归档\立足岗位做贡献与党员先锋岗\2026-07\党员先锋岗打分表.机动通信局第二季度xlsx.xlsx
2026-07-22 10:39:08,moved,过程材料-立足岗位做贡献,E:\sl_obsidian\200督导考核岗\210本岗位特定技能\215立足岗位做贡献、党建本地化融合品牌与五星支部建设\6.立足岗位做贡献 服务发展当先锋\过程附件\党员先锋岗打分表_2.xlsx,E:\sl_obsidian\200督导考核岗\240过程材料归档\立足岗位做贡献与党员先锋岗\2026-07\党员先锋岗打分表_2.xlsx
2026-07-22 10:39:08,moved,过程材料-立足岗位做贡献,E:\sl_obsidian\200督导考核岗\210本岗位特定技能\215立足岗位做贡献、党建本地化融合品牌与五星支部建设\6.立足岗位做贡献 服务发展当先锋\过程附件\党员先锋岗打分表_3.xlsx,E:\sl_obsidian\200督导考核岗\240过程材料归档\立足岗位做贡献与党员先锋岗\2026-07\党员先锋岗打分表_3.xlsx
2026-07-22 10:39:08,moved,过程材料-立足岗位做贡献,E:\sl_obsidian\200督导考核岗\210本岗位特定技能\215立足岗位做贡献、党建本地化融合品牌与五星支部建设\6.立足岗位做贡献 服务发展当先锋\过程附件\张静静先锋岗.xlsx,E:\sl_obsidian\200督导考核岗\240过程材料归档\立足岗位做贡献与党员先锋岗\2026-07\张静静先锋岗.xlsx
2026-07-22 10:39:08,moved,过程材料-立足岗位做贡献,E:\sl_obsidian\200督导考核岗\210本岗位特定技能\215立足岗位做贡献、党建本地化融合品牌与五星支部建设\6.立足岗位做贡献 服务发展当先锋\过程附件\数字化与稽核中心党支部：党员先锋岗打分表.xlsx,E:\sl_obsidian\200督导考核岗\240过程材料归档\立足岗位做贡献与党员先锋岗\2026-07\数字化与稽核中心党支部：党员先锋岗打分表.xlsx
2026-07-22 10:39:08,moved,过程材料-立足岗位做贡献,E:\sl_obsidian\200督导考核岗\210本岗位特定技能\215立足岗位做贡献、党建本地化融合品牌与五星支部建设\6.立足岗位做贡献 服务发展当先锋\过程附件\数字化与稽核中心崔有生-党员先锋岗申报表.xlsx,E:\sl_obsidian\200督导考核岗\240过程材料归档\立足岗位做贡献与党员先锋岗\2026-07\数字化与稽核中心崔有生-党员先锋岗申报表.xlsx
2026-07-22 10:39:08,moved,过程材料-立足岗位做贡献,E:\sl_obsidian\200督导考核岗\210本岗位特定技能\215立足岗位做贡献、党建本地化融合品牌与五星支部建设\6.立足岗位做贡献 服务发展当先锋\过程附件\数字化与稽核中心李中华-党员先锋岗申报表.xlsx,E:\sl_obsidian\200督导考核岗\240过程材料归档\立足岗位做贡献与党员先锋岗\2026-07\数字化与稽核中心李中华-党员先锋岗申报表.xlsx
2026-07-22 10:39:08,moved,过程材料-立足岗位做贡献,E:\sl_obsidian\200督导考核岗\210本岗位特定技能\215立足岗位做贡献、党建本地化融合品牌与五星支部建设\6.立足岗位做贡献 服务发展当先锋\过程附件\李秀丽先锋岗.xlsx,E:\sl_obsidian\200督导考核岗\240过程材料归档\立足岗位做贡献与党员先锋岗\2026-07\李秀丽先锋岗.xlsx
2026-07-22 10:39:08,moved,过程材料-立足岗位做贡献,E:\sl_obsidian\200督导考核岗\210本岗位特定技能\215立足岗位做贡献、党建本地化融合品牌与五星支部建设\6.立足岗位做贡献 服务发展当先锋\过程附件\综服党员先锋岗打分表2026年二季度.xlsx,E:\sl_obsidian\200督导考核岗\240过程材料归档\立足岗位做贡献与党员先锋岗\2026-07\综服党员先锋岗打分表2026年二季度.xlsx
2026-07-22 10:39:08,moved,过程材料-立足岗位做贡献,E:\sl_obsidian\200督导考核岗\210本岗位特定技能\215立足岗位做贡献、党建本地化融合品牌与五星支部建设\6.立足岗位做贡献 服务发展当先锋\过程附件\范川先锋岗.xlsx,E:\sl_obsidian\200督导考核岗\240过程材料归档\立足岗位做贡献与党员先锋岗\2026-07\范川先锋岗.xlsx
2026-07-22 10:39:08,moved,过程材料-立足岗位做贡献,E:\sl_obsidian\200督导考核岗\210本岗位特定技能\215立足岗位做贡献、党建本地化融合品牌与五星支部建设\6.立足岗位做贡献 服务发展当先锋\过程附件\附件2：党员先锋岗申报表-创新冯云霞.xlsx,E:\sl_obsidian\200督导考核岗\240过程材料归档\立足岗位做贡献与党员先锋岗\2026-07\附件2：党员先锋岗申报表-创新冯云霞.xlsx
2026-07-22 10:39:08,moved,过程材料-立足岗位做贡献,E:\sl_obsidian\200督导考核岗\210本岗位特定技能\215立足岗位做贡献、党建本地化融合品牌与五星支部建设\6.立足岗位做贡献 服务发展当先锋\过程附件\附件2：党员先锋岗申报表-创新马孟超.xlsx,E:\sl_obsidian\200督导考核岗\240过程材料归档\立足岗位做贡献与党员先锋岗\2026-07\附件2：党员先锋岗申报表-创新马孟超.xlsx
2026-07-22 10:39:08,moved,过程材料-立足岗位做贡献,E:\sl_obsidian\200督导考核岗\210本岗位特定技能\215立足岗位做贡献、党建本地化融合品牌与五星支部建设\6.立足岗位做贡献 服务发展当先锋\过程附件\附件2：党员先锋岗申报表-明伟二季度.xlsx,E:\sl_obsidian\200督导考核岗\240过程材料归档\立足岗位做贡献与党员先锋岗\2026-07\附件2：党员先锋岗申报表-明伟二季度.xlsx
2026-07-22 10:39:08,moved,过程材料-立足岗位做贡献,E:\sl_obsidian\200督导考核岗\210本岗位特定技能\215立足岗位做贡献、党建本地化融合品牌与五星支部建设\6.立足岗位做贡献 服务发展当先锋\过程附件\附件2：党员先锋岗申报表-邱莹莹二季度.xlsx,E:\sl_obsidian\200督导考核岗\240过程材料归档\立足岗位做贡献与党员先锋岗\2026-07\附件2：党员先锋岗申报表-邱莹莹二季度.xlsx
2026-07-22 10:39:08,moved,过程材料-立足岗位做贡献,E:\sl_obsidian\200督导考核岗\210本岗位特定技能\215立足岗位做贡献、党建本地化融合品牌与五星支部建设\6.立足岗位做贡献 服务发展当先锋\过程附件\附件2：党员先锋岗申报表.xlsx,E:\sl_obsidian\200督导考核岗\240过程材料归档\立足岗位做贡献与党员先锋岗\2026-07\附件2：党员先锋岗申报表.xlsx
2026-07-22 10:39:09,moved,过程材料-立足岗位做贡献,E:\sl_obsidian\200督导考核岗\210本岗位特定技能\215立足岗位做贡献、党建本地化融合品牌与五星支部建设\6.立足岗位做贡献 服务发展当先锋\过程附件\附件2：党员先锋岗申报表（庞二军）.xlsx,E:\sl_obsidian\200督导考核岗\240过程材料归档\立足岗位做贡献与党员先锋岗\2026-07\附件2：党员先锋岗申报表（庞二军）.xlsx
2026-07-22 10:39:09,moved,过程材料-立足岗位做贡献,E:\sl_obsidian\200督导考核岗\210本岗位特定技能\215立足岗位做贡献、党建本地化融合品牌与五星支部建设\6.立足岗位做贡献 服务发展当先锋\过程附件\附件2：党员先锋岗申报表（王小海）.xlsx,E:\sl_obsidian\200督导考核岗\240过程材料归档\立足岗位做贡献与党员先锋岗\2026-07\附件2：党员先锋岗申报表（王小海）.xlsx
2026-07-22 10:39:09,moved,过程材料-立足岗位做贡献,E:\sl_obsidian\200督导考核岗\210本岗位特定技能\215立足岗位做贡献、党建本地化融合品牌与五星支部建设\6.立足岗位做贡献 服务发展当先锋\过程附件\附件2：党员先锋岗申报表（范东东）.xlsx,E:\sl_obsidian\200督导考核岗\240过程材料归档\立足岗位做贡献与党员先锋岗\2026-07\附件2：党员先锋岗申报表（范东东）.xlsx
2026-07-22 10:39:09,moved,过程材料-立足岗位做贡献,E:\sl_obsidian\200督导考核岗\210本岗位特定技能\215立足岗位做贡献、党建本地化融合品牌与五星支部建设\6.立足岗位做贡献 服务发展当先锋\2026-07-20 二季度先锋岗催报与钉钉一对一通知沉淀\过程附件\二季度党员先锋岗申报评选材料提交通知_钉钉发送结果.xlsx,E:\sl_obsidian\200督导考核岗\240过程材料归档\立足岗位做贡献与党员先锋岗\2026-07\二季度党员先锋岗申报评选材料提交通知_钉钉发送结果.xlsx
2026-07-22 10:39:09,moved,过程材料-立足岗位做贡献,E:\sl_obsidian\200督导考核岗\210本岗位特定技能\215立足岗位做贡献、党建本地化融合品牌与五星支部建设\6.立足岗位做贡献 服务发展当先锋\2026-07-20 二季度先锋岗催报与钉钉一对一通知沉淀\过程附件\党员先锋岗二季度催报及三季度指引_钉钉待发送预览.xlsx,E:\sl_obsidian\200督导考核岗\240过程材料归档\立足岗位做贡献与党员先锋岗\2026-07\党员先锋岗二季度催报及三季度指引_钉钉待发送预览.xlsx
2026-07-22 10:39:09,moved,SOP-立足岗位做贡献,E:\sl_obsidian\200督导考核岗\210本岗位特定技能\215立足岗位做贡献、党建本地化融合品牌与五星支部建设\6.立足岗位做贡献 服务发展当先锋\2026-07-20 二季度先锋岗催报与钉钉一对一通知沉淀\过程附件\立足岗位做贡献_支部一眼看懂操作指引.docx,E:\sl_obsidian\200督导考核岗\210本岗位特定技能\215立足岗位做贡献、党建本地化融合品牌与五星支部建设\6.立足岗位做贡献 服务发展当先锋\立足岗位做贡献_支部一眼看懂操作指引.docx
2026-07-22 10:39:09,moved,过程材料-党员发展,E:\sl_obsidian\200督导考核岗\210本岗位特定技能\219党员发展工作\2.发展对象确定\2026年市直机关党员发展对象培训班报名表(1)(1).xls,E:\sl_obsidian\200督导考核岗\240过程材料归档\党员发展工作\2026-07\2026年市直机关党员发展对象培训班报名表(1)(1).xls
